word,market_probability,model_probability,edge,flagged
border,0.58,0.0,-0.58,False
china,0.62,0.0069,-0.6131,False
tariff,0.45,0.0423,-0.4077,False
immigration,0.55,0.0,-0.55,False
economy,0.7,0.0705,-0.6295,False
